id,artifact_id,group_id,version,permission,api,method
com.nichepharma.application+library,com.nichepharma.application,library,1.0.1,"['android.permission.ACCESS_COARSE_LOCATION', 'android.permission.ACCESS_FINE_LOCATION']",Landroid/location/LocationManager; isProviderEnabled (Ljava/lang/String;)Z,"[Lcom/nichepharma/mylibrary/GPSTracker; getLocation ()Landroid/location/Location;, Lcom/nichepharma/mylibrary/GPSTracker; getLocation ()Landroid/location/Location;]"
com.nichepharma.application+library,com.nichepharma.application,library,1.0.1,"['android.permission.ACCESS_COARSE_LOCATION', 'android.permission.ACCESS_FINE_LOCATION']",Landroid/location/LocationManager; requestLocationUpdates (Ljava/lang/String; J F Landroid/location/LocationListener;)V,"[Lcom/nichepharma/mylibrary/GPSTracker; getLocation ()Landroid/location/Location;, Lcom/nichepharma/mylibrary/GPSTracker; getLocation ()Landroid/location/Location;]"
com.nichepharma.application+library,com.nichepharma.application,library,1.0.1,"['android.permission.ACCESS_COARSE_LOCATION', 'android.permission.ACCESS_FINE_LOCATION']",Landroid/location/LocationManager; getLastKnownLocation (Ljava/lang/String;)Landroid/location/Location;,"[Lcom/nichepharma/mylibrary/GPSTracker; getLocation ()Landroid/location/Location;, Lcom/nichepharma/mylibrary/GPSTracker; getLocation ()Landroid/location/Location;]"
com.nichepharma.application+library,com.nichepharma.application,library,1.0.0,"['android.permission.ACCESS_COARSE_LOCATION', 'android.permission.ACCESS_FINE_LOCATION']",Landroid/location/LocationManager; isProviderEnabled (Ljava/lang/String;)Z,"[Lcom/nichepharma/myapplication/GPSTracker; getLocation ()Landroid/location/Location;, Lcom/nichepharma/myapplication/GPSTracker; getLocation ()Landroid/location/Location;]"
com.nichepharma.application+library,com.nichepharma.application,library,1.0.0,"['android.permission.ACCESS_COARSE_LOCATION', 'android.permission.ACCESS_FINE_LOCATION']",Landroid/location/LocationManager; requestLocationUpdates (Ljava/lang/String; J F Landroid/location/LocationListener;)V,"[Lcom/nichepharma/myapplication/GPSTracker; getLocation ()Landroid/location/Location;, Lcom/nichepharma/myapplication/GPSTracker; getLocation ()Landroid/location/Location;]"
com.nichepharma.application+library,com.nichepharma.application,library,1.0.0,"['android.permission.ACCESS_COARSE_LOCATION', 'android.permission.ACCESS_FINE_LOCATION']",Landroid/location/LocationManager; getLastKnownLocation (Ljava/lang/String;)Landroid/location/Location;,"[Lcom/nichepharma/myapplication/GPSTracker; getLocation ()Landroid/location/Location;, Lcom/nichepharma/myapplication/GPSTracker; getLocation ()Landroid/location/Location;]"
com.nichepharma.application+library,com.nichepharma.application,library,1.0.3,"['android.permission.ACCESS_COARSE_LOCATION', 'android.permission.ACCESS_FINE_LOCATION']",Landroid/location/LocationManager; isProviderEnabled (Ljava/lang/String;)Z,"[Lcom/nichepharma/mylibrary/GPSTracker; getLocation ()Landroid/location/Location;, Lcom/nichepharma/mylibrary/GPSTracker; getLocation ()Landroid/location/Location;]"
com.nichepharma.application+library,com.nichepharma.application,library,1.0.3,"['android.permission.ACCESS_COARSE_LOCATION', 'android.permission.ACCESS_FINE_LOCATION']",Landroid/location/LocationManager; requestLocationUpdates (Ljava/lang/String; J F Landroid/location/LocationListener;)V,"[Lcom/nichepharma/mylibrary/GPSTracker; getLocation ()Landroid/location/Location;, Lcom/nichepharma/mylibrary/GPSTracker; getLocation ()Landroid/location/Location;]"
com.nichepharma.application+library,com.nichepharma.application,library,1.0.3,"['android.permission.ACCESS_COARSE_LOCATION', 'android.permission.ACCESS_FINE_LOCATION']",Landroid/location/LocationManager; getLastKnownLocation (Ljava/lang/String;)Landroid/location/Location;,"[Lcom/nichepharma/mylibrary/GPSTracker; getLocation ()Landroid/location/Location;, Lcom/nichepharma/mylibrary/GPSTracker; getLocation ()Landroid/location/Location;]"
com.rjdsofttech+network,com.rjdsofttech,network,0.0.1,['android.permission.ACCESS_NETWORK_STATE'],Landroid/net/ConnectivityManager; getActiveNetworkInfo ()Landroid/net/NetworkInfo;,[Lcom/ramsofttech/network/NetworkUtility; isInternetAvailable (Landroid/content/Context;)Z]
me.jessyan+art,me.jessyan,art,2.4.1,['android.permission.READ_PHONE_STATE'],Landroid/telephony/TelephonyManager; getDeviceId ()Ljava/lang/String;,[Lme/jessyan/art/utils/DeviceUtils; getIMEI (Landroid/content/Context;)Ljava/lang/String;]
me.jessyan+art,me.jessyan,art,2.4.1,['android.permission.ACCESS_NETWORK_STATE'],Landroid/net/ConnectivityManager; getActiveNetworkInfo ()Landroid/net/NetworkInfo;,"[Lme/jessyan/art/utils/DeviceUtils; hasInternet (Landroid/content/Context;)Z, Lme/jessyan/art/utils/DeviceUtils; getNetworkType (Landroid/content/Context;)I]"
me.jessyan+art,me.jessyan,art,2.4.1,['android.permission.ACCESS_NETWORK_STATE'],Landroid/net/ConnectivityManager; getAllNetworkInfo ()[Landroid/net/NetworkInfo;,[Lme/jessyan/art/utils/DeviceUtils; isWifiOpen (Landroid/content/Context;)Z]
me.jessyan+art,me.jessyan,art,2.4.1,['android.permission.ACCESS_NETWORK_STATE'],Landroid/net/ConnectivityManager; getNetworkInfo (I)Landroid/net/NetworkInfo;,"[Lme/jessyan/art/utils/DeviceUtils; netIsConnected (Landroid/content/Context;)Z, Lme/jessyan/art/utils/DeviceUtils; netIsConnected (Landroid/content/Context;)Z]"
me.jessyan+art,me.jessyan,art,1.0.1,['android.permission.KILL_BACKGROUND_PROCESSES'],Landroid/app/ActivityManager; killBackgroundProcesses (Ljava/lang/String;)V,[Lme/jessyan/art/base/AppManager; AppExit ()V]
me.jessyan+art,me.jessyan,art,1.0.1,['android.permission.READ_PHONE_STATE'],Landroid/telephony/TelephonyManager; getDeviceId ()Ljava/lang/String;,[Lme/jessyan/art/utils/DeviceUtils; getIMEI (Landroid/content/Context;)Ljava/lang/String;]
